ID;USER_ID;AMOUNT;TRAN_DATE;POST_DATE;CATEGORY_TEXT;DESCRIPTION
1;1;-67;2014-01-03;2014-01-03;Supermarkets;Misburger Str. 81d, Hannover
2;3;-58.2;2014-01-11;2014-01-11;Loan;Expo-Plaza 11, 30539 Hannover-Bemerode
3;2;-12.6;2014-01-15;2014-01-17;Energy;Expo. 1E, 30161 Hannover-List
4;3;-3.76;2014-01-15;2014-01-17;RandomServices;4696 Little Route, Freeland, Iowa, 52455-5289, US, (712) 876-6382
5;1;-7.71;2014-01-15;2014-01-17;RandomServices;3912 Fallen Crest, Loreburn, Nebraska, 69035-0197, US, (308) 892-6391
6;4;-5.88;2014-01-15;2014-01-17;Travel;Am Lindenhofe 23, 30519 Hannover-Dohren
7;1;-108;2014-01-17;2014-01-17;Energy;Kriegerstr. 1E, 30161 Hannover-List
8;2;-27.9;2014-01-17;2014-01-17;Energy;Kriegerstr. 1E, 30161 Hannover-List
9;2;-3.91;2014-01-17;2014-01-17;Supermarkets;Hannoversche Str. 16, 30629 Hannover-Misburg-Nord
10;1;-6.22;2014-01-18;2014-01-18;Supermarkets;Misburger Str. 81d, Hannover
11;2;-3.92;2014-01-18;2014-01-18;Supermarkets;Hannoversche Str. 16, 30629 Hannover-Misburg-Nord
12;1;-9.8;2014-01-19;2014-01-19;RandomServices;8873 Stony Mountain Limits, Normal, New Brunswick, E0B-4C2, CA, (506) 772-2667
13;2;-5.22;2014-01-20;2014-01-20;Entertainment;Gustav-Adolf-Str. 11, 30167 Hannover-Nordstadt
14;3;-132;2014-01-20;2014-01-20;Energy;Expo. 1E, 30161 Hannover-List
15;1;-24.93;2014-01-21;2014-01-21;Supermarkets;Hannoversche Str. 16, 30629 Hannover-Misburg-Nord
16;3;-8.7;2014-01-21;2014-01-21;RandomServices;8760 Golden Mall , Poorman, Iowa, 51296-9577, US, (712) 855-7400
17;1;-88.9;2014-01-22;2014-01-22;Cafes;Theodor-Heuss-Platz 1-3, 30175 Hannover-Zoo
18;3;-10.14;2014-01-22;2014-01-22;Auto;Lindenhofe 25, 30519 Hannover-Dohren
19;4;-16.1;2014-01-23;2014-01-23;Cafes;Expo-Plaza 10, 30539 Hannover-Bemerode
20;3;-10.23;2014-01-24;2014-01-24;Loan;Am Lindenhofe 23, 30519 Hannover-Dohren
21;2;-2.83;2014-01-24;2014-01-24;Auto;Lindenhofe 25, 30519 Hannover-Dohren
22;4;-3.6;2014-01-25;2014-01-25;Auto;Lindenhofe 25, 30519 Hannover-Dohren
23;2;-12.4;2014-01-26;2014-01-26;Cafes;Kirchrosder Str. 54, 30625 Hannover-Kleefeld
24;1;-9.8;2014-01-26;2014-01-26;Taxi;Sohnreystr. 18, 30173 Hannover-Sudstadt
25;3;-32.25;2014-01-28;2014-01-28;Auto;Lindenhofe 25, 30519 Hannover-Dohren
26;4;-22;2014-02-01;2014-02-01;Energy;Expo. 1E, 30161 Hannover-List
27;3;-55.08;2014-02-03;2014-02-03;Loan;Am Lindenhofe 23, 30519 Hannover-Dohren
28;2;-455.44;2014-02-05;2014-02-05;Travel;Am Lindenhofe 23, 30519 Hannover-Dohren
29;2;-372.28;2014-02-05;2014-02-05;Cafes;Expo-Plaza 10, 30539 Hannover-Bemerode
30;1;-35.43;2014-02-05;2014-02-05;Supermarkets;Misburger Str. 81d, Hannover
31;1;-52.68;2014-02-07;2014-02-07;Energy;Kriegerstr. 1E, 30161 Hannover-List
32;3;-22.15;2014-02-09;2014-02-09;Supermarkets;Hannoversche Str. 16, 30629 Hannover-Misburg-Nord
33;3;-9.8;2014-02-09;2014-02-09;Entertainment;Blumenstr. 1, 30159 Hannover-Mitte
34;3;-59.72;2014-02-11;2014-02-11;Entertainment;Thielenplatz 2, 30159 Hannover-Mitte
35;3;-24.23;2014-02-18;2014-02-18;Loan;Expo-Plaza 11, 30539 Hannover-Bemerode
36;3;-12.3;2014-02-19;2014-02-19;Cafes;Expo-Plaza 10, 30539 Hannover-Bemerode
37;2;-38.95;2014-02-20;2014-02-20;Entertainment;Blumenstr. 1, 30159 Hannover-Mitte
38;1;-36.28;2014-02-24;2014-02-24;MedicalServices;Misburger Str. 81d, 30625 Hannover-Heideviertel
39;3;-4.88;2014-02-26;2014-02-26;Supermarkets;Misburger Str. 81d, Hannover
40;4;-6;2014-02-26;2014-02-26;Supermarkets;Hannoversche Str. 16, 30629 Hannover-Misburg-Nord
41;2;-27.68;2014-02-28;2014-02-28;Loan;Am Lindenhofe 23, 30519 Hannover-Dohren
42;1;-3.6;2013-03-03;2013-03-03;Cafes;Theodor-Heuss-Platz 1-3, 30175 Hannover-Zoo
43;3;-4.74;2013-03-04;2013-03-04;Cafes;Kirchrosder Str. 54, 30625 Hannover-Kleefeld
44;2;-84;2013-03-05;2013-03-05;MedicalServices;Misburger Str. 81d, 30625 Hannover-Heideviertel
45;1;-17.3;2013-03-05;2013-03-05;Travel;Am Lindenhofe 23, 30519 Hannover-Dohren
46;1;-6;2013-03-10;2013-03-10;MedicalServices;Schierholzstr. 132, 30655 Hannover-Gross Buchholz
47;1;-59.72;2013-03-11;2013-03-11;RandomServices;3951 Cozy Gate Walk, Kicking Horse, Nebraska, 69809-3085, US, (308) 612-1975
48;4;-52.84;2013-03-13;2013-03-13;Taxi;Hannoversche Str. 16, 30629 Hannover-Misburg-Nord
